question,option1,option2,option3,option4
Where is the correct place to insert a JavaScript?,The <head> section,The <body> section,Both the <head> and the <body> section are correct,None of the above
Which language runs in a web browser?,Java,C,Python,JavaScript
What does CSS stand for?,Central Style Sheets,Cascading Style Sheets,Cascading Simple Sheets,Cars SUVs Sailboats
What does HTML stand for?,Hypertext Markup Language,Hypertext Markdown Language,Hyperloop Machine Language,Helicopters Terminals Motorboats Lamborghinis
What year was JavaScript launched?,1996,1995,1994,None of the above
What is the correct way to comment in HTML?,// This is a comment,<!-- This is a comment -->,/* This is a comment */,# This is a comment
Which tag is used for a line break in HTML?,<br>,<linebreak>,<break>,<lb>
Which CSS property is used to change the background color?,color,background-color,bgcolor,background
What does JSON stand for?,JavaScript Object Notation,JavaScript Oriented Notation,JavaScript Object Naming,JavaScript Objectifying Notation
What does API stand for?,Application Programming Interface,Application Protocol Interface,Automated Program Interface,Application Processing Interface
